Pclass,Sex,Age,SibSp,Parch,Fare,Scored Labels,Scored Probabilities
3,male,34.5,0,0,7.8292,0,0.000742225267458707
3,female,47,1,0,7,0,4.88699242850998E-07
2,male,62,0,0,9.6875,1,0.977819502353668
3,male,27,0,0,8.6625,1,0.824388384819031
3,female,22,1,1,12.2875,0,0.0645105689764023
3,male,14,0,0,9.225,0,0.00130732508841902
3,female,30,0,0,7.6292,0,0.00422983476892114
2,male,26,1,1,29,0,0.000979023287072778
3,female,18,0,0,7.2292,1,0.99912965297699
3,male,21,2,0,24.15,0,0.000552476965822279
3,male,,0,0,7.8958,,
1,male,46,0,0,26,0,0.000650440633762628
1,female,23,1,0,82.2667,1,0.999993801116943
2,male,63,1,0,26,0,0.178414672613144
1,female,47,1,0,61.175,1,0.999835133552551
2,female,24,1,0,27.7208,1,0.998689472675323
2,male,35,0,0,12.35,0,0.0210949126631022
3,male,21,0,0,7.225,1,0.915237545967102
3,female,27,1,0,7.925,1,0.993608355522156
3,female,45,0,0,7.225,0,1.31783299366361E-05
1,male,55,1,0,59.4,0,0.264249503612518
3,male,9,0,1,3.1708,0,0.3072609603405
1,female,,0,0,31.6833,,
1,male,21,0,1,61.3792,1,0.758187592029572
1,female,48,1,3,262.375,1,0.999996960163116
3,male,50,1,0,14.5,0,0.000136254107928835
1,female,22,0,1,61.9792,1,0.999995112419128
3,male,22.5,0,0,7.225,1,0.761861443519592
1,male,41,0,0,30.5,1,0.992978632450104
3,male,,2,0,21.6792,,
2,male,50,1,0,26,0,0.00272033386863768
2,male,24,2,0,31.5,0,0.00259875250048935
3,female,33,1,2,20.575,1,0.984626293182373
3,female,,1,2,23.45,,
1,male,30,1,0,57.75,0,0.0484087988734245
3,male,18.5,0,0,7.2292,0,0.0179255157709122
3,female,,0,0,8.05,,
3,female,21,0,0,8.6625,0,0.00432265270501375
3,male,25,0,0,9.5,0,0.00366466073319316
3,male,,0,0,56.4958,,
3,male,39,0,1,13.4167,0,0.000525405339431018
1,male,,0,0,26.55,,
3,male,41,0,0,7.85,0,0.00176648900378495
2,female,30,0,0,13,1,0.999934256076813
1,female,45,1,0,52.5542,1,0.999955892562866
3,male,25,0,0,7.925,0,0.00493505876511335
1,male,45,0,0,29.7,0,0.000607818888965994
3,male,,0,0,7.75,,
1,female,60,0,0,76.2917,1,0.999999821186066
3,female,36,0,2,15.9,1,0.998070359230042
1,male,24,1,0,60,1,0.873668432235718
2,male,27,0,0,15.0333,0,0.00146089924965054
2,female,20,2,1,23,1,0.999843597412109
1,female,28,3,2,263,1,0.999996602535248
2,male,,0,0,15.5792,,
3,male,10,4,1,29.125,0,0.000109183412860148
3,male,35,0,0,7.8958,0,0.000237911764997989
3,male,25,0,0,7.65,0,0.00171009870246053
3,male,,1,0,16.1,,
1,female,36,0,0,262.375,1,0.999998569488525
3,male,17,0,0,7.8958,0,0.00082235608715564
2,male,32,0,0,13.5,1,0.908765316009521
3,male,18,0,0,7.75,0,0.000224229981540702
3,female,22,0,0,7.725,1,0.999664425849915
1,male,13,2,2,262.375,0,0.0165913626551628
2,female,,0,0,21,,
3,female,18,0,0,7.8792,1,0.985657930374146
1,male,47,0,0,42.4,0,0.000204342461074702
1,male,31,0,0,28.5375,0,0.0195027124136686
1,female,60,1,4,263,1,0.999997794628143
3,female,24,0,0,7.75,0,0.00194536498747766
3,male,21,0,0,7.8958,0,0.000328836875269189
3,female,29,0,0,7.925,0,0.103478491306305
1,male,28.5,0,0,27.7208,0,0.00225417199544609
1,female,35,0,0,211.5,1,0.999971389770508
1,male,32.5,0,0,211.5,0,8.31297729746439E-05
3,male,,0,0,8.05,,
1,female,55,2,0,25.7,1,0.994631946086884
2,male,30,0,0,13,0,0.0121477311477065
3,female,24,0,0,7.75,0,0.00194536498747766
3,male,6,1,1,15.2458,1,0.999967217445374
1,male,67,1,0,221.7792,0,0.00019589439034462
1,male,49,0,0,26,0,0.142844542860985
3,male,,0,0,7.8958,,
2,male,,0,0,10.7083,,
3,male,,1,0,14.4542,,
3,female,27,0,0,7.8792,1,0.999921202659607
3,female,18,0,0,8.05,1,0.999685049057007
3,female,,0,0,7.75,,
2,male,2,1,1,23,1,0.999094843864441
3,female,22,1,0,13.9,0,0.00613876292482018
3,male,,0,0,7.775,,
1,female,27,1,2,52,1,0.999156534671783
3,male,,0,0,8.05,,
1,male,25,0,0,26,1,0.720039308071136
3,male,25,0,0,7.7958,0,0.113977365195751
1,female,76,1,0,78.85,1,0.999999165534973
3,male,29,0,0,7.925,0,0.370065301656723
3,female,20,0,0,7.8542,0,0.0848429948091507
3,male,33,0,0,8.05,0,0.00657103816047311
1,female,43,1,0,55.4417,1,0.999182164669037
2,male,27,1,0,26,0,0.00253363023512065
3,male,,0,0,7.75,,
3,male,26,0,0,7.775,0,0.0114305578172207
3,female,16,1,1,8.5167,1,0.999519467353821
3,male,28,0,0,22.525,0,0.00028810222283937
3,male,21,0,0,7.8208,0,0.00417126761749387
3,male,,0,0,7.75,,
3,male,,0,0,8.7125,,
2,male,18.5,0,0,13,0,0.00118852639570832
2,male,41,0,0,15.0458,0,0.0128800962120295
3,female,,0,0,7.7792,,
1,female,36,0,0,31.6792,1,0.99996542930603
3,female,18.5,0,0,7.2833,1,0.998818635940552
1,female,63,1,0,221.7792,1,0.999996364116669
3,male,18,1,0,14.4542,0,0.0123494118452072
3,male,,0,0,6.4375,,
3,female,1,1,1,16.7,1,0.998582303524017
1,male,36,0,0,75.2417,0,0.256548076868057
2,female,29,1,0,26,1,0.999803364276886
2,female,12,0,0,15.75,1,0.999985575675964
3,male,,1,0,7.75,,
1,female,35,1,0,57.75,1,0.999990820884705
3,male,28,0,0,7.25,0,9.4439739768859E-05
3,male,,0,0,7.75,,
3,female,17,0,1,16.1,0,0.0756920799612999
3,male,22,0,0,7.7958,0,0.0807959735393524
3,female,,2,0,23.25,,
2,male,42,0,0,13,0,0.370367586612701
3,male,24,0,0,8.05,0,0.000587466696742922
3,male,32,0,0,8.05,1,0.522316873073578
1,male,53,0,0,28.5,0,0.000153544169734232
3,female,,0,4,25.4667,,
3,male,,1,0,6.4375,,
3,male,43,0,0,7.8958,0,0.00155039911624044
3,male,24,0,0,7.8542,0,0.000737940252292901
3,male,26.5,0,0,7.225,0,0.0831682905554771
2,male,26,0,0,13,0,0.00164605246391147
3,female,23,0,0,8.05,0,0.00161882012616843
3,male,40,1,6,46.9,0,3.62246464646887E-05
3,female,10,5,2,46.9,0,3.03347987937741E-05
1,female,33,0,0,151.55,1,0.999697089195251
1,male,61,1,3,262.375,0,0.471428334712982
2,male,28,0,0,26,0,0.00156485068146139
1,male,42,0,0,26.55,1,0.995710372924805
3,male,31,3,0,18,0,0.296045482158661
1,male,,0,0,51.8625,,
3,male,22,0,0,8.05,0,0.000882276915945113
1,male,,0,0,26.55,,
2,male,30,1,1,26,0,0.000930533627979457
1,female,23,0,1,83.1583,1,0.999998509883881
3,male,,0,0,7.8958,,
3,male,60.5,0,0,,,
3,female,36,0,2,12.1833,1,0.986222624778748
3,male,13,4,2,31.3875,0,0.00102985883131623
3,male,24,0,0,7.55,0,0.000389144755899906
1,female,29,0,0,221.7792,1,0.999950289726257
3,female,23,0,0,7.8542,0,0.0044134515337646
1,male,42,0,0,26.55,1,0.995710372924805
3,female,26,0,2,13.775,1,0.987933278083801
3,female,,0,0,7.7333,,
3,male,7,1,1,15.2458,1,0.999797821044922
2,female,26,0,0,13.5,1,0.992145299911499
3,male,,0,0,7,,
2,male,41,0,0,13,0,0.0565241686999798
3,female,26,1,1,22.025,0,0.0401778370141983
1,male,48,0,0,50.4958,0,0.363359928131104
3,male,18,2,2,34.375,0,0.000332754483679309
1,female,,0,0,27.7208,,
3,female,22,0,0,8.9625,0,0.0943919271230698
3,male,,0,0,7.55,,
3,male,27,0,0,7.225,1,0.731430351734161
3,male,23,1,0,13.9,0,0.00342012289911509
3,male,,0,0,7.2292,,
3,male,40,1,5,31.3875,0,0.0042369463481009
2,female,15,0,2,39,1,0.999918341636658
2,female,20,0,0,36.75,1,0.999988794326782
1,male,54,1,0,55.4417,0,0.0226271916180849
2,female,36,0,3,39,1,0.999597072601318
1,female,64,0,2,83.1583,1,0.996256589889526
2,male,30,0,0,13,0,0.0121477311477065
1,male,37,1,1,83.1583,0,0.115638986229897
1,female,18,1,0,53.1,1,0.999955594539642
3,male,,0,0,7.75,,
1,female,27,1,1,247.5208,1,0.966886103153229
2,male,40,0,0,16,0,0.00604744395241141
2,female,21,0,1,21,1,0.999624729156494
3,male,17,2,0,8.05,1,0.766054213047028
3,female,,8,2,69.55,,
2,male,40,0,0,13,0,0.0565241686999798
2,male,34,1,0,26,0,0.00393820367753506
1,male,,0,0,26,,
3,male,11.5,1,1,14.5,1,0.818184733390808
2,male,61,0,0,12.35,0,0.00045316485920921
2,male,8,0,2,32.5,1,0.982487976551056
3,male,33,0,0,7.8542,0,0.00157578312791884
1,male,6,0,2,134.5,1,0.999989807605743
3,female,18,0,0,7.775,0,0.088587611913681
2,male,23,0,0,10.5,0,0.000740770890843123
3,female,,0,0,8.1125,,
3,female,,0,0,15.5,,
3,male,0.33,0,2,14.4,1,0.999996960163116
1,male,47,1,0,227.525,0,0.0371576622128487
2,female,8,1,1,26,1,0.999962627887726
2,male,25,0,0,10.5,0,0.00141554255969822
1,male,,0,0,25.7417,,
3,female,35,0,0,7.75,0,0.0146219534799457
2,male,24,0,0,10.5,0,0.000621667073573917
1,female,33,0,0,27.7208,1,0.999959111213684
3,male,25,0,0,7.8958,0,0.000361351558240131
3,male,32,0,0,22.525,1,0.818753063678741
3,male,,0,0,7.05,,
2,male,17,0,0,73.5,0,0.00033384672133252
2,female,60,1,0,26,1,0.952740728855133
3,female,38,4,2,7.775,0,5.4826021369081E-05
1,male,42,0,0,42.5,0,0.0102833909913898
3,female,,0,0,7.8792,,
1,male,57,1,1,164.8667,0,0.0950491204857826
1,female,50,1,1,211.5,1,0.999984502792358
3,male,,0,0,8.05,,
2,female,30,1,0,13.8583,1,0.999958038330078
3,male,21,0,0,8.05,0,0.000800485664512962
2,female,22,0,0,10.5,1,0.99824857711792
3,male,21,0,0,7.7958,0,0.453870832920074
1,female,53,0,0,27.4458,1,0.984378933906555
3,female,,0,2,15.2458,,
3,male,23,0,0,7.7958,0,0.0651827082037926
3,female,,0,0,7.75,,
3,male,40.5,0,0,15.1,0,0.000635759788565338
2,male,36,0,0,13,0,0.0018970730016008
2,male,14,0,0,65,0,0.00217616092413664
1,female,21,0,0,26.55,1,0.999862790107727
3,male,21,1,0,6.4958,0,0.00236753420904279
3,male,,0,0,7.8792,,
1,male,39,1,0,71.2833,0,0.405713945627213
3,male,20,0,0,7.8542,0,0.00455319415777922
1,male,64,1,0,75.25,0,0.00255772634409368
3,male,20,0,0,7.225,1,0.991996288299561
2,female,18,1,1,13,1,0.999536037445068
1,female,48,1,0,106.425,1,0.999974370002747
1,female,55,0,0,27.7208,1,0.91058611869812
2,female,45,0,2,30,1,0.999051690101624
1,male,45,1,1,134.5,0,0.242576852440834
3,male,,0,0,7.8875,,
3,male,,1,2,23.45,,
1,male,41,1,0,51.8625,0,0.0152425887063146
2,female,22,0,0,21,1,0.999810695648193
2,male,42,1,1,32.5,0,0.00328105827793479
2,female,29,1,0,26,1,0.999803364276886
3,female,,1,0,14.4542,,
2,female,0.92,1,2,27.75,1,0.999982714653015
3,male,20,0,0,7.925,0,0.0403147153556347
1,male,27,1,0,136.7792,0,0.127550393342972
3,male,24,0,0,9.325,0,0.000591690128203481
3,male,32.5,0,0,9.5,0,0.00206848862580955
3,male,,0,0,7.55,,
3,male,,0,0,7.75,,
3,male,28,0,0,8.05,0,0.000184678501682356
2,female,19,0,0,13,1,0.997979164123535
3,male,21,0,0,7.775,0,0.0141398571431637
3,male,36.5,1,0,17.4,0,0.000252810539677739
3,male,21,0,0,7.8542,0,0.00417126761749387
2,female,29,0,2,23,1,0.999784052371979
3,female,1,1,1,12.1833,1,0.99983161687851
2,male,30,0,0,12.7375,0,0.00475918035954237
3,male,,0,0,7.8958,,
1,male,,0,0,0,,
3,male,,0,0,7.55,,
3,female,,0,0,8.05,,
3,male,17,0,0,8.6625,0,0.00218172976747155
1,male,46,0,0,75.2417,0,0.000842372886836529
3,male,,0,0,7.75,,
1,female,26,1,0,136.7792,1,0.981147170066834
3,female,,1,0,15.5,,
3,male,,0,0,7.225,,
2,female,20,1,0,26,1,0.999681830406189
2,male,28,0,0,10.5,0,0.00138675351627171
2,male,40,1,0,26,0,0.00650889333337545
2,male,30,1,0,21,0,0.00110128906089813
2,male,22,0,0,10.5,0,0.000933624047320336
3,female,23,0,0,8.6625,0,0.00161882012616843
3,male,0.75,1,1,13.775,1,0.999992847442627
3,female,,0,0,7.75,,
3,female,9,1,1,15.2458,0,0.00772302411496639
3,female,2,1,1,20.2125,1,0.868256747722626
3,male,36,0,0,7.25,0,4.05348546337336E-05
3,male,,0,0,7.25,,
1,male,24,1,0,82.2667,0,0.0070663932710886
3,male,,0,0,7.2292,,
3,male,,0,0,8.05,,
1,male,,0,0,39.6,,
3,female,30,0,0,6.95,0,0.00141228793654591
3,male,,0,0,7.2292,,
1,male,53,1,1,81.8583,0,0.00136105925776064
3,male,36,0,0,9.5,0,0.00170412380248308
3,male,26,0,0,7.8958,0,0.000849375035613775
2,female,1,1,2,41.5792,1,0.998648166656494
3,male,,2,0,21.6792,,
1,male,30,0,0,45.5,0,0.000268908013822511
3,male,29,0,0,7.8542,1,0.682345271110535
3,male,32,0,0,7.775,0,0.0445966348052025
2,male,,0,0,15.0458,,
2,male,43,0,1,21,0,0.00184296432416886
3,male,24,0,0,8.6625,0,0.000591690128203481
3,female,,0,0,7.75,,
1,female,64,1,1,26.55,1,0.981612384319305
1,male,30,1,2,151.55,0,7.43410491850227E-05
3,male,0.83,0,1,9.35,1,0.999952018260956
1,male,55,1,1,93.5,0,0.117701217532158
3,female,45,1,0,14.1083,0,0.00867421552538872
3,male,18,0,0,8.6625,0,0.00858507677912712
3,male,22,0,0,7.225,1,0.861005663871765
3,male,,0,0,7.575,,
3,female,37,0,0,7.75,0,1.72919935721438E-05
1,female,55,0,0,135.6333,1,0.999999642372131
3,female,17,0,0,7.7333,1,0.998754680156708
1,male,57,1,0,146.5208,0,0.464941650629044
2,male,19,0,0,10.5,0,0.200843185186386
3,male,27,0,0,7.8542,1,0.67314338684082
2,male,22,2,0,31.5,0,0.00150018942076713
3,male,26,0,0,7.775,0,0.0114305578172207
3,male,25,0,0,7.2292,0,0.0160470809787512
2,male,26,0,0,13,0,0.00164605246391147
1,male,33,0,0,26.55,1,0.547102510929108
1,female,39,0,0,211.3375,1,0.999957859516144
3,male,23,0,0,7.05,0,0.000155811387230642
2,female,12,2,1,39,1,0.999839186668396
1,male,46,0,0,79.2,0,3.21893458021805E-05
2,male,29,1,0,26,0,0.00167737470474094
2,male,21,0,0,13,0,0.000253278180025518
2,female,48,0,2,36.75,1,0.996666312217712
1,male,39,0,0,29.7,0,0.0401562266051769
3,male,,0,0,7.225,,
3,female,19,1,1,15.7417,0,0.254861682653427
3,male,27,0,0,7.8958,0,0.0584885813295841
1,male,30,0,0,26,0,0.000894121127203107
2,male,32,0,0,13,1,0.908765316009521
3,male,39,0,2,7.2292,0,1.97532335732831E-05
2,male,25,0,0,31.5,0,0.0519417636096478
3,male,,0,0,7.2292,,
2,male,18,0,0,10.5,0,0.115732461214066
3,male,32,0,0,7.5792,0,0.0782018452882767
3,male,,1,9,69.55,,
1,female,58,0,1,512.3292,1,0.999999940395355
3,male,,1,1,14.5,,
3,female,16,0,0,7.65,1,0.999984562397003
2,male,26,0,0,13,0,0.00164605246391147
3,female,38,0,0,7.2292,0,0.000256970932241529
2,male,24,0,0,13.5,0,0.00164062774274498
2,female,31,0,0,21,1,0.999567747116089
1,female,45,0,1,63.3583,1,0.999941647052765
2,male,25,0,0,10.5,0,0.00141554255969822
2,male,18,0,0,73.5,0,0.000250539800617844
2,male,49,1,2,65,0,0.00699764210730791
3,female,0.17,1,2,20.575,1,0.993306159973145
1,male,50,0,0,26,0,0.00397498672828078
1,female,59,2,0,51.4792,1,0.999997794628143
3,male,,0,0,7.8792,,
3,male,,0,0,7.75,,
3,female,30,1,0,15.55,0,0.0303327906876802
3,male,14.5,8,2,69.55,0,5.22052214364521E-05
2,female,24,1,1,37.0042,1,0.999885857105255
2,female,31,0,0,21,1,0.999567747116089
3,male,27,0,0,8.6625,1,0.824388384819031
1,female,25,1,0,55.4417,1,0.999995172023773
3,female,,1,9,69.55,,
3,male,,1,0,14.4583,,
3,female,22,0,0,39.6875,0,0.412837624549866
1,female,45,0,1,59.4,1,0.999941647052765
2,male,29,0,0,13.8583,0,0.0102630937471986
2,male,21,1,0,11.5,0,0.00201960559934378
1,female,31,0,0,134.5,1,0.999999582767487
1,male,49,0,0,0,0,6.12433041169425E-06
2,male,44,0,0,13,0,0.016858384013176
1,female,54,1,1,81.8583,1,0.999996185302734
1,female,45,0,0,262.375,1,0.999993443489075
3,female,22,2,0,8.6625,0,0.135703101754189
2,male,21,0,0,11.5,0,0.000335755670676008
1,male,55,0,0,50,0,0.0238145273178816
3,male,5,4,2,31.3875,0,0.201795190572739
3,male,,0,0,7.75,,
3,male,26,0,0,7.8792,0,0.00233899848535657
3,female,,0,0,14.5,,
3,female,19,1,0,16.1,0,0.0688741654157639
2,male,,0,0,12.875,,
2,female,24,1,2,65,1,0.999900221824646
3,male,24,0,0,7.775,0,0.00399448676034808
2,male,57,0,0,13,0,2.21934396904544E-06
3,male,21,0,0,7.75,0,0.00540809240192175
3,male,6,3,1,21.075,0,0.000309592753183097
1,male,23,0,0,93.5,0,0.202306255698204
1,female,51,0,1,39.4,1,0.999760389328003
3,male,13,0,2,20.25,0,0.0108137410134077
2,male,47,0,0,10.5,0,0.00364109664224088
3,male,29,3,1,22.025,0,0.186491876840591
1,female,18,1,0,60,1,0.999956429004669
3,male,24,0,0,7.25,0,0.000290263124043122
1,female,48,1,1,79.2,1,0.999999821186066
3,male,22,0,0,7.775,0,0.0148620214313269
3,male,31,0,0,7.7333,0,0.0208031293004751
1,female,30,0,0,164.8667,1,0.99998551607132
2,male,38,1,0,21,0,0.000594000215642154
1,female,22,0,1,59.4,1,0.999995112419128
1,male,17,0,0,47.1,0,0.000831302138976753
1,male,43,1,0,27.7208,0,0.000104279250081163
2,male,20,0,0,13.8625,0,0.00147421064320952
2,male,23,1,0,10.5,0,0.00214462261646986
1,male,50,1,1,211.5,0,0.0121613536030054
3,female,,0,0,7.7208,,
3,female,3,1,1,13.775,1,0.983910501003265
3,female,,0,0,7.75,,
1,female,37,1,0,90,1,0.999994516372681
3,female,28,0,0,7.775,0,0.000324766762787476
3,male,,0,0,8.05,,
1,female,39,0,0,108.9,1,0.999786376953125
3,male,38.5,0,0,7.25,0,7.86441796662984E-06
3,male,,0,0,8.05,,
3,male,,1,1,22.3583,,
